,artist,id
0,Ed Sheeran,12418
1,Camilla Cabello,609667
2,Post Malone,326362
3,Eminem,45
4,Maroon5,13539
5,Sia,16775
6,Beyonce,498
7,Dua Lipa,555561
8,Selena Gomez,45372
9,Demi Lovato,13531
10,Sam Smith,43383
11,Coldplay,1091336
12,Marshmello,1402544
13,Mariah Carey,1205
14,Imagine Dragons,29472
15,Justin Bieber ,357
16,Khalid,1444143
17,David Guetta,2578
18,Rihanna,89
19,Charlie Puth,250301
20,Ariana Grande,26507
21,G-Eazy,1280104
22,Kygo,1167700
23,Drake,130
24,Chainsmokers,150934
25,Calvin Harris,2069
26,Nicki Minaj,1345224
27,Taylor Swift,1177
28,Clean Bandit,106693
29,ZAYN,339472
30,Bebe Rexha,1839646
31,French Montana,1583
32,Future,2197
33,Kendrick Lamar,1421
34,Bruno Mars,500
35,Halsey,1280104
36,The Weekend,41579
37,Major Lazer ,665
38,Jason Derulo,17764
39,Wham!,15441
40,Martin Garix,1296540
41,Michael Buble,59801
42,Avicii,17491
43,Shakira,1405
44,Hailee Steinfeld,1052299
45,Kanye West,72
46,Lil Wayne,4
47,Alesso,1659828
48,Julia Michaels,409643
49,21 Savage,430404
50,Ty Dolla Sign,25005
51,Bad Bunny,1440188
52,Willy William,1202954
53,Shawn Mendes,1740394
54,Lil Pump,654932
55,Chris Brown,438
56,NF,214301
57,Migos,44080
58,Queen,563
59,Lil Uzi Vert ,217208
60,Maluma,2461596
61,DJ Khaled,158
62,Frank Sinatra,824
63,Ozuna,640693
64,Miley Cyrus,805
65,DJ Snake,41287
66,Travis Scott ,20185
67,Katy Perry,1195
68,James Arthur,34107
69,Wiz Khalifa,310
70,P!nk,345
71,Metro Boomin,980465
72,Michael Jackson,835
73,Cheat Codes,377002
74,Logic,7922
75,Alan Walker,456537
76,Adele,2300
77,Lauv,338777
78,Elvis Presley,1645
79,Cardi B,621678
80,BigSean,492
81,Kodak Black,162126
82,One Republic,934
83,Kelly Clarkson,11714
84,5th Harmony,60437
85,Rita Ora,1514198
86,Prince Royce ,1576647
87,Pitbull,628
88,Bing Crosby,30989
89,Alessia Cara,1084521
90,Linkin Park,1581
91,Justin Timberlake,334
92,Jonas Blue,632979
93,Florida Georgia Line,3360548
94,Britney Spears,1052
95,Little Mix,2774277
